state_fips,state_name,pct_65plus
01,Alabama,19.2
02,Alaska,11.5
04,Arizona,18.1
05,Arkansas,19.3
06,California,16.2
08,Colorado,13.8
09,Connecticut,18.5
10,Delaware,18.7
12,Florida,22.4
13,Georgia,15.9
15,Hawaii,17.8
16,Idaho,15.2
17,Illinois,16.8
18,Indiana,16.5
19,Iowa,18.0
20,Kansas,16.9
21,Kentucky,17.3
22,Louisiana,17.5
23,Maine,20.5
24,Maryland,16.6
25,Massachusetts,17.4
26,Michigan,17.6
27,Minnesota,16.1
28,Mississippi,17.8
29,Missouri,17.9
30,Montana,17.2
31,Nebraska,16.4
32,Nevada,16.3
33,New Hampshire,17.8
34,New Jersey,17.9
35,New Mexico,18.3
36,New York,17.5
37,North Carolina,17.2
38,North Dakota,15.9
39,Ohio,17.9
40,Oklahoma,17.6
41,Oregon,17.9
42,Pennsylvania,18.9
44,Rhode Island,18.8
45,South Carolina,17.9
46,South Dakota,16.7
47,Tennessee,17.5
48,Texas,14.3
49,Utah,12.1
50,Vermont,19.6
51,Virginia,15.8
53,Washington,15.7
54,West Virginia,19.6
55,Wisconsin,17.5
56,Wyoming,16.1
