date,temp_c,ah_g_m3
2024-08-01,23.9,4.31
2024-08-02,23.8,4.26
2024-08-03,23.6,4.21
2024-08-04,23.5,4.17
2024-08-05,23.3,4.12
2024-08-06,23.2,4.07
2024-08-07,23.0,4.02
2024-08-08,22.9,3.98
2024-08-09,22.7,3.93
2024-08-10,22.5,3.89
2024-08-11,22.4,3.85
2024-08-12,22.2,3.8
2024-08-13,22.1,3.76
2024-08-14,21.9,3.72
2024-08-15,21.7,3.68
2024-08-16,21.5,3.65
2024-08-17,21.4,3.61
2024-08-18,21.2,3.57
2024-08-19,21.0,3.54
2024-08-20,20.8,3.5
2024-08-21,20.7,3.47
2024-08-22,20.5,3.44
2024-08-23,20.3,3.41
2024-08-24,20.1,3.38
2024-08-25,19.9,3.35
2024-08-26,19.7,3.32
2024-08-27,19.5,3.3
2024-08-28,19.3,3.27
2024-08-29,19.1,3.25
2024-08-30,19.0,3.22
2024-08-31,18.8,3.2
2024-09-01,18.6,3.18
2024-09-02,18.4,3.16
2024-09-03,18.2,3.14
2024-09-04,18.0,3.12
2024-09-05,17.8,3.11
2024-09-06,17.6,3.09
2024-09-07,17.4,3.08
2024-09-08,17.2,3.07
2024-09-09,17.0,3.05
2024-09-10,16.7,3.04
2024-09-11,16.5,3.03
2024-09-12,16.3,3.03
2024-09-13,16.1,3.02
2024-09-14,15.9,3.01
2024-09-15,15.7,3.01
2024-09-16,15.5,3.0
2024-09-17,15.3,3.0
2024-09-18,15.1,3.0
2024-09-19,14.9,3.0
2024-09-20,14.7,3.0
2024-09-21,14.5,3.0
2024-09-22,14.3,3.01
2024-09-23,14.1,3.01
2024-09-24,13.9,3.02
2024-09-25,13.7,3.03
2024-09-26,13.5,3.03
2024-09-27,13.3,3.04
2024-09-28,13.0,3.05
2024-09-29,12.8,3.07
2024-09-30,12.6,3.08
2024-10-01,12.4,3.09
2024-10-02,12.2,3.11
2024-10-03,12.0,3.12
2024-10-04,11.8,3.14
2024-10-05,11.6,3.16
2024-10-06,11.4,3.18
2024-10-07,11.2,3.2
2024-10-08,11.0,3.22
2024-10-09,10.9,3.25
2024-10-10,10.7,3.27
2024-10-11,10.5,3.3
2024-10-12,10.3,3.32
2024-10-13,10.1,3.35
2024-10-14,9.9,3.38
2024-10-15,9.7,3.41
2024-10-16,9.5,3.44
2024-10-17,9.3,3.47
2024-10-18,9.2,3.5
2024-10-19,9.0,3.54
2024-10-20,8.8,3.57
2024-10-21,8.6,3.61
2024-10-22,8.5,3.65
2024-10-23,8.3,3.68
2024-10-24,8.1,3.72
2024-10-25,7.9,3.76
2024-10-26,7.8,3.8
2024-10-27,7.6,3.85
2024-10-28,7.5,3.89
2024-10-29,7.3,3.93
2024-10-30,7.1,3.98
2024-10-31,7.0,4.02
2024-11-01,6.8,4.07
2024-11-02,6.7,4.12
2024-11-03,6.5,4.17
2024-11-04,6.4,4.21
2024-11-05,6.2,4.26
2024-11-06,6.1,4.31
2024-11-07,6.0,4.37
2024-11-08,5.8,4.42
2024-11-09,5.7,4.47
2024-11-10,5.6,4.53
2024-11-11,5.4,4.58
2024-11-12,5.3,4.63
2024-11-13,5.2,4.69
2024-11-14,5.1,4.75
2024-11-15,5.0,4.8
2024-11-16,4.9,4.86
2024-11-17,4.7,4.92
2024-11-18,4.6,4.98
2024-11-19,4.5,5.04
2024-11-20,4.4,5.1
2024-11-21,4.3,5.16
2024-11-22,4.2,5.22
2024-11-23,4.2,5.28
2024-11-24,4.1,5.35
2024-11-25,4.0,5.41
2024-11-26,3.9,5.47
2024-11-27,3.8,5.54
2024-11-28,3.8,5.6
2024-11-29,3.7,5.67
2024-11-30,3.6,5.73
2024-12-01,3.6,5.8
2024-12-02,3.5,5.86
2024-12-03,3.4,5.93
2024-12-04,3.4,6.0
2024-12-05,3.3,6.06
2024-12-06,3.3,6.13
2024-12-07,3.2,6.2
2024-12-08,3.2,6.26
2024-12-09,3.2,6.33
2024-12-10,3.1,6.4
2024-12-11,3.1,6.47
2024-12-12,3.1,6.54
2024-12-13,3.1,6.6
2024-12-14,3.0,6.67
2024-12-15,3.0,6.74
2024-12-16,3.0,6.81
2024-12-17,3.0,6.88
2024-12-18,3.0,6.95
2024-12-19,3.0,7.02
2024-12-20,3.0,7.09
2024-12-21,3.0,7.15
2024-12-22,3.0,7.22
2024-12-23,3.0,7.29
2024-12-24,3.0,7.36
2024-12-25,3.1,7.43
2024-12-26,3.1,7.5
2024-12-27,3.1,7.57
2024-12-28,3.2,7.63
2024-12-29,3.2,7.7
2024-12-30,3.2,7.77
2024-12-31,3.3,7.84
2025-01-01,3.3,7.84
2025-01-02,3.3,7.9
2025-01-03,3.4,7.97
2025-01-04,3.4,8.04
2025-01-05,3.5,8.1
2025-01-06,3.5,8.17
2025-01-07,3.6,8.24
2025-01-08,3.7,8.3
2025-01-09,3.7,8.37
2025-01-10,3.8,8.43
2025-01-11,3.9,8.49
2025-01-12,3.9,8.56
2025-01-13,4.0,8.62
2025-01-14,4.1,8.68
2025-01-15,4.2,8.75
2025-01-16,4.3,8.81
2025-01-17,4.4,8.87
2025-01-18,4.5,8.93
2025-01-19,4.6,8.99
2025-01-20,4.7,9.05
2025-01-21,4.8,9.11
2025-01-22,4.9,9.17
2025-01-23,5.0,9.22
2025-01-24,5.1,9.28
2025-01-25,5.3,9.34
2025-01-26,5.4,9.39
2025-01-27,5.5,9.45
2025-01-28,5.6,9.5
2025-01-29,5.8,9.55
2025-01-30,5.9,9.61
2025-01-31,6.0,9.66
2025-02-01,6.2,9.71
2025-02-02,6.3,9.76
